,filenames,labels
40,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177672.mp3,Arabic
41,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177640.mp3,Arabic
42,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177596.mp3,Arabic
43,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177615.mp3,Arabic
44,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177678.mp3,Arabic
45,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24177605.mp3,Arabic
46,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24194443.mp3,Arabic
47,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24194527.mp3,Arabic
48,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24195030.mp3,Arabic
49,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203030.mp3,Arabic
50,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203402.mp3,Arabic
51,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203409.mp3,Arabic
52,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203366.mp3,Arabic
53,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203302.mp3,Arabic
54,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203346.mp3,Arabic
55,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203422.mp3,Arabic
56,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203420.mp3,Arabic
57,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203322.mp3,Arabic
58,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203349.mp3,Arabic
59,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203320.mp3,Arabic
60,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203451.mp3,Arabic
61,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203473.mp3,Arabic
62,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203475.mp3,Arabic
63,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203552.mp3,Arabic
64,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203444.mp3,Arabic
65,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203866.mp3,Arabic
66,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203836.mp3,Arabic
67,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203831.mp3,Arabic
68,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203837.mp3,Arabic
69,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203883.mp3,Arabic
70,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203887.mp3,Arabic
71,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24203925.mp3,Arabic
72,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204168.mp3,Arabic
73,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204252.mp3,Arabic
74,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204222.mp3,Arabic
75,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204184.mp3,Arabic
76,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204617.mp3,Arabic
77,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204470.mp3,Arabic
78,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204485.mp3,Arabic
79,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204699.mp3,Arabic
80,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204725.mp3,Arabic
81,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204655.mp3,Arabic
82,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204632.mp3,Arabic
83,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204639.mp3,Arabic
84,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204658.mp3,Arabic
85,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204687.mp3,Arabic
86,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204620.mp3,Arabic
87,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204641.mp3,Arabic
88,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204634.mp3,Arabic
89,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204712.mp3,Arabic
90,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204795.mp3,Arabic
91,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204852.mp3,Arabic
92,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204780.mp3,Arabic
93,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204824.mp3,Arabic
94,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204813.mp3,Arabic
95,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204782.mp3,Arabic
96,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204820.mp3,Arabic
97,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204845.mp3,Arabic
98,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204772.mp3,Arabic
99,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204808.mp3,Arabic
100,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204837.mp3,Arabic
101,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204898.mp3,Arabic
102,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24204906.mp3,Arabic
103,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205103.mp3,Arabic
104,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205230.mp3,Arabic
105,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205211.mp3,Arabic
106,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205177.mp3,Arabic
107,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205216.mp3,Arabic
108,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205208.mp3,Arabic
109,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205713.mp3,Arabic
110,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205690.mp3,Arabic
111,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205681.mp3,Arabic
112,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205707.mp3,Arabic
113,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205663.mp3,Arabic
114,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205842.mp3,Arabic
115,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205840.mp3,Arabic
116,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205803.mp3,Arabic
117,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205902.mp3,Arabic
118,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205767.mp3,Arabic
119,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205765.mp3,Arabic
120,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205737.mp3,Arabic
121,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205735.mp3,Arabic
122,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205834.mp3,Arabic
123,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205916.mp3,Arabic
124,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24206045.mp3,Arabic
125,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24205988.mp3,Arabic
126,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24206522.mp3,Arabic
127,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24206743.mp3,Arabic
128,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24206741.mp3,Arabic
129,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24207318.mp3,Arabic
130,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24209142.mp3,Arabic
131,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24209629.mp3,Arabic
132,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24209970.mp3,Arabic
133,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24209967.mp3,Arabic
134,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24210303.mp3,Arabic
135,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24210835.mp3,Arabic
136,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24210866.mp3,Arabic
137,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24212735.mp3,Arabic
138,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24213170.mp3,Arabic
139,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24213171.mp3,Arabic
140,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24218342.mp3,Arabic
141,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24218697.mp3,Arabic
142,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24218746.mp3,Arabic
143,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24219031.mp3,Arabic
144,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24219039.mp3,Arabic
145,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24219749.mp3,Arabic
146,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24219865.mp3,Arabic
147,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24220615.mp3,Arabic
148,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24221603.mp3,Arabic
149,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24221755.mp3,Arabic
150,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222079.mp3,Arabic
151,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222074.mp3,Arabic
152,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222103.mp3,Arabic
153,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222209.mp3,Arabic
154,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222393.mp3,Arabic
155,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24222396.mp3,Arabic
156,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24223691.mp3,Arabic
157,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24224474.mp3,Arabic
158,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24227958.mp3,Arabic
159,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228064.mp3,Arabic
160,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228179.mp3,Arabic
161,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228252.mp3,Arabic
162,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228182.mp3,Arabic
163,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228180.mp3,Arabic
164,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228365.mp3,Arabic
165,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228364.mp3,Arabic
166,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228449.mp3,Arabic
167,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228591.mp3,Arabic
168,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228592.mp3,Arabic
169,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228473.mp3,Arabic
170,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228485.mp3,Arabic
171,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228665.mp3,Arabic
172,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228641.mp3,Arabic
173,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228795.mp3,Arabic
174,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228756.mp3,Arabic
175,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228967.mp3,Arabic
176,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229019.mp3,Arabic
177,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229018.mp3,Arabic
178,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229032.mp3,Arabic
179,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228927.mp3,Arabic
180,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228990.mp3,Arabic
181,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24228988.mp3,Arabic
182,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229054.mp3,Arabic
183,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229052.mp3,Arabic
184,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229037.mp3,Arabic
185,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229142.mp3,Arabic
186,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229201.mp3,Arabic
187,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229258.mp3,Arabic
188,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229319.mp3,Arabic
189,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229317.mp3,Arabic
190,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229374.mp3,Arabic
191,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229386.mp3,Arabic
192,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229606.mp3,Arabic
193,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229604.mp3,Arabic
194,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229848.mp3,Arabic
195,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229844.mp3,Arabic
196,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229845.mp3,Arabic
197,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229793.mp3,Arabic
198,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229751.mp3,Arabic
199,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229833.mp3,Arabic
200,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229775.mp3,Arabic
201,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229858.mp3,Arabic
202,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229924.mp3,Arabic
203,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229933.mp3,Arabic
204,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229970.mp3,Arabic
205,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229948.mp3,Arabic
206,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229857.mp3,Arabic
207,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229864.mp3,Arabic
208,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229921.mp3,Arabic
209,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229916.mp3,Arabic
210,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229866.mp3,Arabic
211,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229973.mp3,Arabic
212,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24229986.mp3,Arabic
213,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230183.mp3,Arabic
214,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230285.mp3,Arabic
215,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230307.mp3,Arabic
216,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230199.mp3,Arabic
217,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230454.mp3,Arabic
218,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230458.mp3,Arabic
219,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230344.mp3,Arabic
220,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230401.mp3,Arabic
221,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230459.mp3,Arabic
222,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230380.mp3,Arabic
223,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230494.mp3,Arabic
224,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230472.mp3,Arabic
225,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230557.mp3,Arabic
226,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24230560.mp3,Arabic
227,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24236623.mp3,Arabic
228,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24237122.mp3,Arabic
229,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24237121.mp3,Arabic
230,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24237628.mp3,Arabic
231,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24237732.mp3,Arabic
232,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24241310.mp3,Arabic
233,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24241303.mp3,Arabic
234,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24242372.mp3,Arabic
235,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24242358.mp3,Arabic
236,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24242589.mp3,Arabic
237,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24243426.mp3,Arabic
238,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24243672.mp3,Arabic
239,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24243851.mp3,Arabic
240,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24245108.mp3,Arabic
241,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246007.mp3,Arabic
242,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246165.mp3,Arabic
243,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246266.mp3,Arabic
244,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246370.mp3,Arabic
245,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246607.mp3,Arabic
246,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246554.mp3,Arabic
247,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24246780.mp3,Arabic
248,drive/My Drive/AI certification with Zaka/Capstone Project/Data/Arabic/common_voice_ar_24253321.mp3,Arabic
